chunk_tokens,dataset,max_prompt_tokens,prompt_tokens,reason,sample_id,sample_idx,truncated_prompt_tokens
,musique,4096,6254,prompt truncated to max_prompt_tokens,6,6,4096
4004,musique,,4096,"CUDA out of memory. Tried to allocate 2.00 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.70 GiB is free. Including non-PyTorch memory, this process has 21.85 GiB memory in use. Of the allocated memory 20.52 GiB is allocated by PyTorch, and 1.03 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",6,6,
,musique,4096,6115,prompt truncated to max_prompt_tokens,7,7,4096
4005,musique,,4096,"CUDA out of memory. Tried to allocate 2.00 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.70 GiB is free. Including non-PyTorch memory, this process has 21.85 GiB memory in use. Of the allocated memory 20.52 GiB is allocated by PyTorch, and 1.03 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",7,7,
,musique,4096,6301,prompt truncated to max_prompt_tokens,8,8,4096
4006,musique,,4096,"CUDA out of memory. Tried to allocate 2.00 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.70 GiB is free. Including non-PyTorch memory, this process has 21.85 GiB memory in use. Of the allocated memory 20.52 GiB is allocated by PyTorch, and 1.03 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",8,8,
,musique,4096,6390,prompt truncated to max_prompt_tokens,9,9,4096
4000,musique,,4096,"CUDA out of memory. Tried to allocate 2.00 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.70 GiB is free. Including non-PyTorch memory, this process has 21.85 GiB memory in use. Of the allocated memory 20.52 GiB is allocated by PyTorch, and 1.03 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",9,9,
,musique,4096,6199,prompt truncated to max_prompt_tokens,10,10,4096
4007,musique,,4096,"CUDA out of memory. Tried to allocate 2.00 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.70 GiB is free. Including non-PyTorch memory, this process has 21.85 GiB memory in use. Of the allocated memory 20.52 GiB is allocated by PyTorch, and 1.03 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",10,10,
,musique,4096,6239,prompt truncated to max_prompt_tokens,11,11,4096
4005,musique,,4096,"CUDA out of memory. Tried to allocate 2.00 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.70 GiB is free. Including non-PyTorch memory, this process has 21.85 GiB memory in use. Of the allocated memory 20.52 GiB is allocated by PyTorch, and 1.03 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",11,11,
,musique,4096,6303,prompt truncated to max_prompt_tokens,12,12,4096
4002,musique,,4096,"CUDA out of memory. Tried to allocate 2.00 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.70 GiB is free. Including non-PyTorch memory, this process has 21.85 GiB memory in use. Of the allocated memory 20.52 GiB is allocated by PyTorch, and 1.03 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",12,12,
,musique,4096,6463,prompt truncated to max_prompt_tokens,13,13,4096
4005,musique,,4096,"CUDA out of memory. Tried to allocate 2.00 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.70 GiB is free. Including non-PyTorch memory, this process has 21.85 GiB memory in use. Of the allocated memory 20.52 GiB is allocated by PyTorch, and 1.03 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",13,13,
,musique,4096,5877,prompt truncated to max_prompt_tokens,14,14,4096
4010,musique,,4096,"CUDA out of memory. Tried to allocate 2.00 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.70 GiB is free. Including non-PyTorch memory, this process has 21.85 GiB memory in use. Of the allocated memory 20.52 GiB is allocated by PyTorch, and 1.03 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",14,14,
,musique,4096,6164,prompt truncated to max_prompt_tokens,15,15,4096
4006,musique,,4096,"CUDA out of memory. Tried to allocate 2.00 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.70 GiB is free. Including non-PyTorch memory, this process has 21.85 GiB memory in use. Of the allocated memory 20.52 GiB is allocated by PyTorch, and 1.03 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",15,15,
,musique,4096,6408,prompt truncated to max_prompt_tokens,16,16,4096
4007,musique,,4096,"CUDA out of memory. Tried to allocate 2.00 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.70 GiB is free. Including non-PyTorch memory, this process has 21.85 GiB memory in use. Of the allocated memory 20.52 GiB is allocated by PyTorch, and 1.03 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",16,16,
,musique,4096,6366,prompt truncated to max_prompt_tokens,17,17,4096
4008,musique,,4096,"CUDA out of memory. Tried to allocate 2.00 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.70 GiB is free. Including non-PyTorch memory, this process has 21.85 GiB memory in use. Of the allocated memory 20.52 GiB is allocated by PyTorch, and 1.03 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",17,17,
,musique,4096,6335,prompt truncated to max_prompt_tokens,18,18,4096
4005,musique,,4096,"CUDA out of memory. Tried to allocate 2.00 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.70 GiB is free. Including non-PyTorch memory, this process has 21.85 GiB memory in use. Of the allocated memory 20.52 GiB is allocated by PyTorch, and 1.03 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",18,18,
,musique,4096,6364,prompt truncated to max_prompt_tokens,19,19,4096
4004,musique,,4096,"CUDA out of memory. Tried to allocate 2.00 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.70 GiB is free. Including non-PyTorch memory, this process has 21.85 GiB memory in use. Of the allocated memory 20.52 GiB is allocated by PyTorch, and 1.03 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",19,19,
,musique,4096,6457,prompt truncated to max_prompt_tokens,20,20,4096
4009,musique,,4096,"CUDA out of memory. Tried to allocate 2.00 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.70 GiB is free. Including non-PyTorch memory, this process has 21.85 GiB memory in use. Of the allocated memory 20.52 GiB is allocated by PyTorch, and 1.03 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",20,20,
,musique,4096,6209,prompt truncated to max_prompt_tokens,21,21,4096
4002,musique,,4096,"CUDA out of memory. Tried to allocate 2.00 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.70 GiB is free. Including non-PyTorch memory, this process has 21.85 GiB memory in use. Of the allocated memory 20.52 GiB is allocated by PyTorch, and 1.03 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",21,21,
,musique,4096,6475,prompt truncated to max_prompt_tokens,22,22,4096
4010,musique,,4096,"CUDA out of memory. Tried to allocate 2.00 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.70 GiB is free. Including non-PyTorch memory, this process has 21.85 GiB memory in use. Of the allocated memory 20.52 GiB is allocated by PyTorch, and 1.03 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",22,22,
,musique,4096,6678,prompt truncated to max_prompt_tokens,23,23,4096
4004,musique,,4096,"CUDA out of memory. Tried to allocate 2.00 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.70 GiB is free. Including non-PyTorch memory, this process has 21.85 GiB memory in use. Of the allocated memory 20.52 GiB is allocated by PyTorch, and 1.03 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",23,23,
,musique,4096,6144,prompt truncated to max_prompt_tokens,24,24,4096
4009,musique,,4096,"CUDA out of memory. Tried to allocate 2.00 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.70 GiB is free. Including non-PyTorch memory, this process has 21.85 GiB memory in use. Of the allocated memory 20.52 GiB is allocated by PyTorch, and 1.03 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",24,24,
,musique,4096,6175,prompt truncated to max_prompt_tokens,25,25,4096
4006,musique,,4096,"CUDA out of memory. Tried to allocate 2.00 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.70 GiB is free. Including non-PyTorch memory, this process has 21.85 GiB memory in use. Of the allocated memory 20.52 GiB is allocated by PyTorch, and 1.03 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",25,25,
,musique,4096,6711,prompt truncated to max_prompt_tokens,26,26,4096
4007,musique,,4096,"CUDA out of memory. Tried to allocate 2.00 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.70 GiB is free. Including non-PyTorch memory, this process has 21.85 GiB memory in use. Of the allocated memory 20.52 GiB is allocated by PyTorch, and 1.03 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",26,26,
,musique,4096,6110,prompt truncated to max_prompt_tokens,27,27,4096
4008,musique,,4096,"CUDA out of memory. Tried to allocate 2.00 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.70 GiB is free. Including non-PyTorch memory, this process has 21.85 GiB memory in use. Of the allocated memory 20.52 GiB is allocated by PyTorch, and 1.03 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",27,27,
,musique,4096,6555,prompt truncated to max_prompt_tokens,28,28,4096
4002,musique,,4096,"CUDA out of memory. Tried to allocate 2.00 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.70 GiB is free. Including non-PyTorch memory, this process has 21.85 GiB memory in use. Of the allocated memory 20.52 GiB is allocated by PyTorch, and 1.03 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",28,28,
,musique,4096,6138,prompt truncated to max_prompt_tokens,29,29,4096
4010,musique,,4096,"CUDA out of memory. Tried to allocate 2.00 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.70 GiB is free. Including non-PyTorch memory, this process has 21.85 GiB memory in use. Of the allocated memory 20.52 GiB is allocated by PyTorch, and 1.03 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",29,29,
,musique,4096,6344,prompt truncated to max_prompt_tokens,30,30,4096
4003,musique,,4096,"CUDA out of memory. Tried to allocate 2.00 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.70 GiB is free. Including non-PyTorch memory, this process has 21.85 GiB memory in use. Of the allocated memory 20.52 GiB is allocated by PyTorch, and 1.03 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",30,30,
,musique,4096,6202,prompt truncated to max_prompt_tokens,31,31,4096
4005,musique,,4096,"CUDA out of memory. Tried to allocate 2.00 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.70 GiB is free. Including non-PyTorch memory, this process has 21.85 GiB memory in use. Of the allocated memory 20.52 GiB is allocated by PyTorch, and 1.03 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",31,31,
,musique,4096,6251,prompt truncated to max_prompt_tokens,32,32,4096
4008,musique,,4096,"CUDA out of memory. Tried to allocate 2.00 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.70 GiB is free. Including non-PyTorch memory, this process has 21.85 GiB memory in use. Of the allocated memory 20.52 GiB is allocated by PyTorch, and 1.03 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",32,32,
,musique,4096,6180,prompt truncated to max_prompt_tokens,33,33,4096
4007,musique,,4096,"CUDA out of memory. Tried to allocate 2.00 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.70 GiB is free. Including non-PyTorch memory, this process has 21.85 GiB memory in use. Of the allocated memory 20.52 GiB is allocated by PyTorch, and 1.03 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",33,33,
,musique,4096,5809,prompt truncated to max_prompt_tokens,34,34,4096
4009,musique,,4096,"CUDA out of memory. Tried to allocate 2.00 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.70 GiB is free. Including non-PyTorch memory, this process has 21.85 GiB memory in use. Of the allocated memory 20.52 GiB is allocated by PyTorch, and 1.03 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",34,34,
,musique,4096,6310,prompt truncated to max_prompt_tokens,35,35,4096
4003,musique,,4096,"CUDA out of memory. Tried to allocate 2.00 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.70 GiB is free. Including non-PyTorch memory, this process has 21.85 GiB memory in use. Of the allocated memory 20.52 GiB is allocated by PyTorch, and 1.03 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",35,35,
,musique,4096,6263,prompt truncated to max_prompt_tokens,36,36,4096
4011,musique,,4096,"CUDA out of memory. Tried to allocate 2.00 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.70 GiB is free. Including non-PyTorch memory, this process has 21.85 GiB memory in use. Of the allocated memory 20.52 GiB is allocated by PyTorch, and 1.03 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",36,36,
,musique,4096,6405,prompt truncated to max_prompt_tokens,37,37,4096
4007,musique,,4096,"CUDA out of memory. Tried to allocate 2.00 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.70 GiB is free. Including non-PyTorch memory, this process has 21.85 GiB memory in use. Of the allocated memory 20.52 GiB is allocated by PyTorch, and 1.03 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",37,37,
,musique,4096,6517,prompt truncated to max_prompt_tokens,38,38,4096
4007,musique,,4096,"CUDA out of memory. Tried to allocate 2.00 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.70 GiB is free. Including non-PyTorch memory, this process has 21.85 GiB memory in use. Of the allocated memory 20.52 GiB is allocated by PyTorch, and 1.03 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",38,38,
,musique,4096,6325,prompt truncated to max_prompt_tokens,39,39,4096
4008,musique,,4096,"CUDA out of memory. Tried to allocate 2.00 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.70 GiB is free. Including non-PyTorch memory, this process has 21.85 GiB memory in use. Of the allocated memory 20.52 GiB is allocated by PyTorch, and 1.03 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",39,39,
,musique,4096,6266,prompt truncated to max_prompt_tokens,40,40,4096
4004,musique,,4096,"CUDA out of memory. Tried to allocate 2.00 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.70 GiB is free. Including non-PyTorch memory, this process has 21.85 GiB memory in use. Of the allocated memory 20.52 GiB is allocated by PyTorch, and 1.03 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",40,40,
,musique,4096,6326,prompt truncated to max_prompt_tokens,41,41,4096
4001,musique,,4096,"CUDA out of memory. Tried to allocate 2.00 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.70 GiB is free. Including non-PyTorch memory, this process has 21.85 GiB memory in use. Of the allocated memory 20.52 GiB is allocated by PyTorch, and 1.03 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",41,41,
,musique,4096,7033,prompt truncated to max_prompt_tokens,42,42,4096
3994,musique,,4096,"CUDA out of memory. Tried to allocate 2.00 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.70 GiB is free. Including non-PyTorch memory, this process has 21.85 GiB memory in use. Of the allocated memory 20.52 GiB is allocated by PyTorch, and 1.03 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",42,42,
,musique,4096,6103,prompt truncated to max_prompt_tokens,43,43,4096
4000,musique,,4096,"CUDA out of memory. Tried to allocate 2.00 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.70 GiB is free. Including non-PyTorch memory, this process has 21.85 GiB memory in use. Of the allocated memory 20.52 GiB is allocated by PyTorch, and 1.03 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",43,43,
,musique,4096,6090,prompt truncated to max_prompt_tokens,44,44,4096
4007,musique,,4096,"CUDA out of memory. Tried to allocate 2.00 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.70 GiB is free. Including non-PyTorch memory, this process has 21.85 GiB memory in use. Of the allocated memory 20.52 GiB is allocated by PyTorch, and 1.03 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",44,44,
,musique,4096,6052,prompt truncated to max_prompt_tokens,45,45,4096
4005,musique,,4096,"CUDA out of memory. Tried to allocate 2.00 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.70 GiB is free. Including non-PyTorch memory, this process has 21.85 GiB memory in use. Of the allocated memory 20.52 GiB is allocated by PyTorch, and 1.03 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",45,45,
,musique,4096,6232,prompt truncated to max_prompt_tokens,46,46,4096
4006,musique,,4096,"CUDA out of memory. Tried to allocate 2.00 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.70 GiB is free. Including non-PyTorch memory, this process has 21.85 GiB memory in use. Of the allocated memory 20.52 GiB is allocated by PyTorch, and 1.03 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",46,46,
,musique,4096,6304,prompt truncated to max_prompt_tokens,47,47,4096
4003,musique,,4096,"CUDA out of memory. Tried to allocate 2.00 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.70 GiB is free. Including non-PyTorch memory, this process has 21.85 GiB memory in use. Of the allocated memory 20.52 GiB is allocated by PyTorch, and 1.03 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",47,47,
,musique,4096,6247,prompt truncated to max_prompt_tokens,48,48,4096
4008,musique,,4096,"CUDA out of memory. Tried to allocate 2.00 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.70 GiB is free. Including non-PyTorch memory, this process has 21.85 GiB memory in use. Of the allocated memory 20.52 GiB is allocated by PyTorch, and 1.03 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",48,48,
