dataset,reason,sample_id,sample_idx
musique,"CUDA out of memory. Tried to allocate 4.98 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.61 GiB is free. Including non-PyTorch memory, this process has 21.94 GiB memory in use. Of the allocated memory 19.10 GiB is allocated by PyTorch, and 2.54 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",13,13
musique,"CUDA out of memory. Tried to allocate 4.12 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.61 GiB is free. Including non-PyTorch memory, this process has 21.94 GiB memory in use. Of the allocated memory 17.77 GiB is allocated by PyTorch, and 3.87 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",14,14
musique,"CUDA out of memory. Tried to allocate 4.53 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.61 GiB is free. Including non-PyTorch memory, this process has 21.94 GiB memory in use. Of the allocated memory 18.40 GiB is allocated by PyTorch, and 3.23 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",15,15
musique,"CUDA out of memory. Tried to allocate 4.90 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.61 GiB is free. Including non-PyTorch memory, this process has 21.94 GiB memory in use. Of the allocated memory 18.97 GiB is allocated by PyTorch, and 2.67 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",16,16
musique,"CUDA out of memory. Tried to allocate 4.83 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.61 GiB is free. Including non-PyTorch memory, this process has 21.94 GiB memory in use. Of the allocated memory 18.87 GiB is allocated by PyTorch, and 2.77 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",17,17
musique,"CUDA out of memory. Tried to allocate 4.79 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.61 GiB is free. Including non-PyTorch memory, this process has 21.94 GiB memory in use. Of the allocated memory 18.79 GiB is allocated by PyTorch, and 2.84 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",18,18
musique,"CUDA out of memory. Tried to allocate 4.83 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.61 GiB is free. Including non-PyTorch memory, this process has 21.94 GiB memory in use. Of the allocated memory 18.86 GiB is allocated by PyTorch, and 2.77 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",19,19
musique,"CUDA out of memory. Tried to allocate 4.97 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.55 GiB is free. Including non-PyTorch memory, this process has 22.00 GiB memory in use. Of the allocated memory 19.08 GiB is allocated by PyTorch, and 2.61 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",20,20
musique,"CUDA out of memory. Tried to allocate 4.60 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.55 GiB is free. Including non-PyTorch memory, this process has 22.00 GiB memory in use. Of the allocated memory 18.50 GiB is allocated by PyTorch, and 3.19 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",21,21
musique,"CUDA out of memory. Tried to allocate 5.00 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.54 GiB is free. Including non-PyTorch memory, this process has 22.01 GiB memory in use. Of the allocated memory 19.13 GiB is allocated by PyTorch, and 2.58 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",22,22
musique,"CUDA out of memory. Tried to allocate 5.32 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.22 GiB is free. Including non-PyTorch memory, this process has 22.33 GiB memory in use. Of the allocated memory 19.61 GiB is allocated by PyTorch, and 2.41 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",23,23
musique,"CUDA out of memory. Tried to allocate 4.50 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.22 GiB is free. Including non-PyTorch memory, this process has 22.33 GiB memory in use. Of the allocated memory 18.36 GiB is allocated by PyTorch, and 3.67 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",24,24
musique,"CUDA out of memory. Tried to allocate 4.55 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.22 GiB is free. Including non-PyTorch memory, this process has 22.33 GiB memory in use. Of the allocated memory 18.43 GiB is allocated by PyTorch, and 3.60 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",25,25
musique,"CUDA out of memory. Tried to allocate 5.37 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.17 GiB is free. Including non-PyTorch memory, this process has 22.38 GiB memory in use. Of the allocated memory 19.70 GiB is allocated by PyTorch, and 2.38 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",26,26
musique,"CUDA out of memory. Tried to allocate 4.45 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.17 GiB is free. Including non-PyTorch memory, this process has 22.38 GiB memory in use. Of the allocated memory 18.28 GiB is allocated by PyTorch, and 3.80 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",27,27
musique,"CUDA out of memory. Tried to allocate 5.12 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.17 GiB is free. Including non-PyTorch memory, this process has 22.38 GiB memory in use. Of the allocated memory 14.19 GiB is allocated by PyTorch, and 7.89 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",28,28
musique,"CUDA out of memory. Tried to allocate 4.49 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.17 GiB is free. Including non-PyTorch memory, this process has 22.38 GiB memory in use. Of the allocated memory 18.34 GiB is allocated by PyTorch, and 3.74 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",29,29
musique,"CUDA out of memory. Tried to allocate 4.80 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.17 GiB is free. Including non-PyTorch memory, this process has 22.38 GiB memory in use. Of the allocated memory 18.82 GiB is allocated by PyTorch, and 3.26 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",30,30
musique,"CUDA out of memory. Tried to allocate 4.59 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.17 GiB is free. Including non-PyTorch memory, this process has 22.38 GiB memory in use. Of the allocated memory 18.49 GiB is allocated by PyTorch, and 3.59 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",31,31
musique,"CUDA out of memory. Tried to allocate 4.66 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.17 GiB is free. Including non-PyTorch memory, this process has 22.38 GiB memory in use. Of the allocated memory 18.60 GiB is allocated by PyTorch, and 3.48 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",32,32
musique,"CUDA out of memory. Tried to allocate 4.55 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.17 GiB is free. Including non-PyTorch memory, this process has 22.38 GiB memory in use. Of the allocated memory 18.44 GiB is allocated by PyTorch, and 3.64 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",33,33
musique,"CUDA out of memory. Tried to allocate 4.02 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.17 GiB is free. Including non-PyTorch memory, this process has 22.38 GiB memory in use. Of the allocated memory 17.62 GiB is allocated by PyTorch, and 4.46 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",34,34
musique,"CUDA out of memory. Tried to allocate 4.75 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.17 GiB is free. Including non-PyTorch memory, this process has 22.38 GiB memory in use. Of the allocated memory 18.74 GiB is allocated by PyTorch, and 3.34 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",35,35
musique,"CUDA out of memory. Tried to allocate 4.68 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.17 GiB is free. Including non-PyTorch memory, this process has 22.38 GiB memory in use. Of the allocated memory 18.63 GiB is allocated by PyTorch, and 3.45 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",36,36
musique,"CUDA out of memory. Tried to allocate 4.89 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.17 GiB is free. Including non-PyTorch memory, this process has 22.38 GiB memory in use. Of the allocated memory 18.96 GiB is allocated by PyTorch, and 3.12 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",37,37
musique,"CUDA out of memory. Tried to allocate 5.06 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.07 GiB is free. Including non-PyTorch memory, this process has 22.48 GiB memory in use. Of the allocated memory 19.22 GiB is allocated by PyTorch, and 2.95 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",38,38
musique,"CUDA out of memory. Tried to allocate 4.77 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.07 GiB is free. Including non-PyTorch memory, this process has 22.48 GiB memory in use. Of the allocated memory 18.77 GiB is allocated by PyTorch, and 3.40 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",39,39
musique,"CUDA out of memory. Tried to allocate 4.68 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.07 GiB is free. Including non-PyTorch memory, this process has 22.48 GiB memory in use. Of the allocated memory 18.63 GiB is allocated by PyTorch, and 3.54 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",40,40
musique,"CUDA out of memory. Tried to allocate 4.77 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.07 GiB is free. Including non-PyTorch memory, this process has 22.48 GiB memory in use. Of the allocated memory 18.77 GiB is allocated by PyTorch, and 3.40 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",41,41
musique,"CUDA out of memory. Tried to allocate 5.90 GiB. GPU 0 has a total capacity of 23.56 GiB of which 557.25 MiB is free. Including non-PyTorch memory, this process has 23.01 GiB memory in use. Of the allocated memory 20.51 GiB is allocated by PyTorch, and 2.19 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",42,42
musique,"CUDA out of memory. Tried to allocate 4.44 GiB. GPU 0 has a total capacity of 23.56 GiB of which 557.25 MiB is free. Including non-PyTorch memory, this process has 23.01 GiB memory in use. Of the allocated memory 18.26 GiB is allocated by PyTorch, and 4.44 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",43,43
musique,"CUDA out of memory. Tried to allocate 4.42 GiB. GPU 0 has a total capacity of 23.56 GiB of which 557.25 MiB is free. Including non-PyTorch memory, this process has 23.01 GiB memory in use. Of the allocated memory 18.23 GiB is allocated by PyTorch, and 4.47 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",44,44
musique,"CUDA out of memory. Tried to allocate 4.37 GiB. GPU 0 has a total capacity of 23.56 GiB of which 557.25 MiB is free. Including non-PyTorch memory, this process has 23.01 GiB memory in use. Of the allocated memory 18.15 GiB is allocated by PyTorch, and 4.55 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",45,45
musique,"CUDA out of memory. Tried to allocate 4.63 GiB. GPU 0 has a total capacity of 23.56 GiB of which 557.25 MiB is free. Including non-PyTorch memory, this process has 23.01 GiB memory in use. Of the allocated memory 18.56 GiB is allocated by PyTorch, and 4.14 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",46,46
musique,"CUDA out of memory. Tried to allocate 4.74 GiB. GPU 0 has a total capacity of 23.56 GiB of which 557.25 MiB is free. Including non-PyTorch memory, this process has 23.01 GiB memory in use. Of the allocated memory 18.72 GiB is allocated by PyTorch, and 3.98 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",47,47
musique,"CUDA out of memory. Tried to allocate 4.65 GiB. GPU 0 has a total capacity of 23.56 GiB of which 557.25 MiB is free. Including non-PyTorch memory, this process has 23.01 GiB memory in use. Of the allocated memory 18.59 GiB is allocated by PyTorch, and 4.11 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",48,48
musique,"CUDA out of memory. Tried to allocate 4.51 GiB. GPU 0 has a total capacity of 23.56 GiB of which 557.25 MiB is free. Including non-PyTorch memory, this process has 23.01 GiB memory in use. Of the allocated memory 18.38 GiB is allocated by PyTorch, and 4.32 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",49,49
musique,"CUDA out of memory. Tried to allocate 4.98 GiB. GPU 0 has a total capacity of 23.56 GiB of which 557.25 MiB is free. Including non-PyTorch memory, this process has 23.01 GiB memory in use. Of the allocated memory 19.10 GiB is allocated by PyTorch, and 3.60 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",50,50
musique,"CUDA out of memory. Tried to allocate 4.44 GiB. GPU 0 has a total capacity of 23.56 GiB of which 557.25 MiB is free. Including non-PyTorch memory, this process has 23.01 GiB memory in use. Of the allocated memory 18.25 GiB is allocated by PyTorch, and 4.45 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",51,51
musique,"CUDA out of memory. Tried to allocate 5.02 GiB. GPU 0 has a total capacity of 23.56 GiB of which 557.25 MiB is free. Including non-PyTorch memory, this process has 23.01 GiB memory in use. Of the allocated memory 19.16 GiB is allocated by PyTorch, and 3.54 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",52,52
musique,"CUDA out of memory. Tried to allocate 4.86 GiB. GPU 0 has a total capacity of 23.56 GiB of which 557.25 MiB is free. Including non-PyTorch memory, this process has 23.01 GiB memory in use. Of the allocated memory 18.92 GiB is allocated by PyTorch, and 3.78 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",53,53
musique,"CUDA out of memory. Tried to allocate 4.00 GiB. GPU 0 has a total capacity of 23.56 GiB of which 557.25 MiB is free. Including non-PyTorch memory, this process has 23.01 GiB memory in use. Of the allocated memory 17.58 GiB is allocated by PyTorch, and 5.12 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",54,54
musique,"CUDA out of memory. Tried to allocate 4.51 GiB. GPU 0 has a total capacity of 23.56 GiB of which 557.25 MiB is free. Including non-PyTorch memory, this process has 23.01 GiB memory in use. Of the allocated memory 18.37 GiB is allocated by PyTorch, and 4.32 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",55,55
musique,"CUDA out of memory. Tried to allocate 4.85 GiB. GPU 0 has a total capacity of 23.56 GiB of which 557.25 MiB is free. Including non-PyTorch memory, this process has 23.01 GiB memory in use. Of the allocated memory 18.89 GiB is allocated by PyTorch, and 3.81 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",56,56
