dataset,reason,sample_id,sample_idx
musique,"CUDA out of memory. Tried to allocate 4.53 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.61 GiB is free. Including non-PyTorch memory, this process has 21.94 GiB memory in use. Of the allocated memory 18.40 GiB is allocated by PyTorch, and 3.23 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",15,15
musique,"CUDA out of memory. Tried to allocate 4.90 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.61 GiB is free. Including non-PyTorch memory, this process has 21.94 GiB memory in use. Of the allocated memory 18.97 GiB is allocated by PyTorch, and 2.67 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",16,16
musique,"CUDA out of memory. Tried to allocate 4.83 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.61 GiB is free. Including non-PyTorch memory, this process has 21.94 GiB memory in use. Of the allocated memory 18.87 GiB is allocated by PyTorch, and 2.77 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",17,17
musique,"CUDA out of memory. Tried to allocate 4.79 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.61 GiB is free. Including non-PyTorch memory, this process has 21.94 GiB memory in use. Of the allocated memory 18.79 GiB is allocated by PyTorch, and 2.84 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",18,18
musique,"CUDA out of memory. Tried to allocate 4.83 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.61 GiB is free. Including non-PyTorch memory, this process has 21.94 GiB memory in use. Of the allocated memory 18.86 GiB is allocated by PyTorch, and 2.77 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",19,19
musique,"CUDA out of memory. Tried to allocate 4.97 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.55 GiB is free. Including non-PyTorch memory, this process has 22.00 GiB memory in use. Of the allocated memory 19.08 GiB is allocated by PyTorch, and 2.61 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",20,20
musique,"CUDA out of memory. Tried to allocate 4.60 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.55 GiB is free. Including non-PyTorch memory, this process has 22.00 GiB memory in use. Of the allocated memory 18.50 GiB is allocated by PyTorch, and 3.19 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",21,21
musique,"CUDA out of memory. Tried to allocate 5.00 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.54 GiB is free. Including non-PyTorch memory, this process has 22.01 GiB memory in use. Of the allocated memory 19.13 GiB is allocated by PyTorch, and 2.58 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",22,22
musique,"CUDA out of memory. Tried to allocate 5.32 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.22 GiB is free. Including non-PyTorch memory, this process has 22.33 GiB memory in use. Of the allocated memory 19.61 GiB is allocated by PyTorch, and 2.41 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",23,23
musique,answer evidence not found in chunk tokens,24,24
musique,answer evidence not found in chunk tokens,25,25
musique,answer evidence not found in chunk tokens,26,26
musique,answer evidence not found in chunk tokens,27,27
musique,"CUDA out of memory. Tried to allocate 5.12 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.22 GiB is free. Including non-PyTorch memory, this process has 22.33 GiB memory in use. Of the allocated memory 14.19 GiB is allocated by PyTorch, and 7.83 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",28,28
musique,answer evidence not found in chunk tokens,29,29
musique,"CUDA out of memory. Tried to allocate 4.80 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.22 GiB is free. Including non-PyTorch memory, this process has 22.33 GiB memory in use. Of the allocated memory 18.82 GiB is allocated by PyTorch, and 3.21 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",30,30
musique,"CUDA out of memory. Tried to allocate 4.59 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.22 GiB is free. Including non-PyTorch memory, this process has 22.33 GiB memory in use. Of the allocated memory 18.49 GiB is allocated by PyTorch, and 3.54 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",31,31
musique,"CUDA out of memory. Tried to allocate 4.66 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.22 GiB is free. Including non-PyTorch memory, this process has 22.33 GiB memory in use. Of the allocated memory 18.60 GiB is allocated by PyTorch, and 3.43 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",32,32
musique,answer evidence not found in chunk tokens,33,33
musique,"CUDA out of memory. Tried to allocate 4.02 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.22 GiB is free. Including non-PyTorch memory, this process has 22.33 GiB memory in use. Of the allocated memory 17.62 GiB is allocated by PyTorch, and 4.41 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",34,34
musique,"CUDA out of memory. Tried to allocate 4.75 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.22 GiB is free. Including non-PyTorch memory, this process has 22.33 GiB memory in use. Of the allocated memory 18.74 GiB is allocated by PyTorch, and 3.29 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",35,35
musique,answer evidence not found in chunk tokens,36,36
musique,answer evidence not found in chunk tokens,37,37
musique,answer evidence not found in chunk tokens,38,38
musique,"CUDA out of memory. Tried to allocate 4.77 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.22 GiB is free. Including non-PyTorch memory, this process has 22.33 GiB memory in use. Of the allocated memory 18.77 GiB is allocated by PyTorch, and 3.25 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",39,39
musique,answer evidence not found in chunk tokens,40,40
musique,answer evidence not found in chunk tokens,41,41
musique,answer evidence not found in chunk tokens,42,42
musique,"CUDA out of memory. Tried to allocate 4.44 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.22 GiB is free. Including non-PyTorch memory, this process has 22.33 GiB memory in use. Of the allocated memory 18.26 GiB is allocated by PyTorch, and 3.76 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",43,43
musique,"CUDA out of memory. Tried to allocate 4.42 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.22 GiB is free. Including non-PyTorch memory, this process has 22.33 GiB memory in use. Of the allocated memory 18.23 GiB is allocated by PyTorch, and 3.79 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",44,44
musique,"CUDA out of memory. Tried to allocate 4.37 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.22 GiB is free. Including non-PyTorch memory, this process has 22.33 GiB memory in use. Of the allocated memory 18.15 GiB is allocated by PyTorch, and 3.88 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",45,45
musique,"CUDA out of memory. Tried to allocate 4.63 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.22 GiB is free. Including non-PyTorch memory, this process has 22.33 GiB memory in use. Of the allocated memory 18.56 GiB is allocated by PyTorch, and 3.47 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",46,46
musique,"CUDA out of memory. Tried to allocate 4.74 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.22 GiB is free. Including non-PyTorch memory, this process has 22.33 GiB memory in use. Of the allocated memory 18.72 GiB is allocated by PyTorch, and 3.30 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",47,47
musique,answer evidence not found in chunk tokens,48,48
musique,"CUDA out of memory. Tried to allocate 4.51 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.22 GiB is free. Including non-PyTorch memory, this process has 22.33 GiB memory in use. Of the allocated memory 18.38 GiB is allocated by PyTorch, and 3.65 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",49,49
musique,"CUDA out of memory. Tried to allocate 4.98 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.21 GiB is free. Including non-PyTorch memory, this process has 22.34 GiB memory in use. Of the allocated memory 19.10 GiB is allocated by PyTorch, and 2.94 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",50,50
musique,answer evidence not found in chunk tokens,51,51
musique,"CUDA out of memory. Tried to allocate 5.02 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.17 GiB is free. Including non-PyTorch memory, this process has 22.38 GiB memory in use. Of the allocated memory 19.16 GiB is allocated by PyTorch, and 2.92 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",52,52
musique,"CUDA out of memory. Tried to allocate 4.86 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.17 GiB is free. Including non-PyTorch memory, this process has 22.38 GiB memory in use. Of the allocated memory 18.92 GiB is allocated by PyTorch, and 3.16 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",53,53
musique,"CUDA out of memory. Tried to allocate 4.00 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.17 GiB is free. Including non-PyTorch memory, this process has 22.38 GiB memory in use. Of the allocated memory 17.58 GiB is allocated by PyTorch, and 4.50 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",54,54
musique,"CUDA out of memory. Tried to allocate 4.51 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.17 GiB is free. Including non-PyTorch memory, this process has 22.38 GiB memory in use. Of the allocated memory 18.37 GiB is allocated by PyTorch, and 3.70 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",55,55
musique,answer evidence not found in chunk tokens,56,56
musique,answer evidence not found in chunk tokens,57,57
musique,answer evidence not found in chunk tokens,58,58
musique,"CUDA out of memory. Tried to allocate 4.64 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.17 GiB is free. Including non-PyTorch memory, this process has 22.38 GiB memory in use. Of the allocated memory 18.58 GiB is allocated by PyTorch, and 3.50 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",59,59
musique,"CUDA out of memory. Tried to allocate 5.09 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.17 GiB is free. Including non-PyTorch memory, this process has 22.38 GiB memory in use. Of the allocated memory 14.17 GiB is allocated by PyTorch, and 7.90 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",60,60
musique,"CUDA out of memory. Tried to allocate 4.15 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.17 GiB is free. Including non-PyTorch memory, this process has 22.38 GiB memory in use. Of the allocated memory 17.82 GiB is allocated by PyTorch, and 4.25 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",61,61
musique,"CUDA out of memory. Tried to allocate 4.12 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.17 GiB is free. Including non-PyTorch memory, this process has 22.38 GiB memory in use. Of the allocated memory 17.77 GiB is allocated by PyTorch, and 4.30 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",62,62
musique,answer evidence not found in chunk tokens,63,63
musique,"CUDA out of memory. Tried to allocate 4.96 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.17 GiB is free. Including non-PyTorch memory, this process has 22.38 GiB memory in use. Of the allocated memory 19.06 GiB is allocated by PyTorch, and 3.02 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",64,64
musique,answer evidence not found in chunk tokens,65,65
musique,answer evidence not found in chunk tokens,66,66
musique,"CUDA out of memory. Tried to allocate 4.35 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.17 GiB is free. Including non-PyTorch memory, this process has 22.38 GiB memory in use. Of the allocated memory 18.12 GiB is allocated by PyTorch, and 3.96 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",67,67
musique,"CUDA out of memory. Tried to allocate 5.45 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.03 GiB is free. Including non-PyTorch memory, this process has 22.52 GiB memory in use. Of the allocated memory 19.82 GiB is allocated by PyTorch, and 2.39 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",68,68
musique,answer evidence not found in chunk tokens,69,69
musique,"CUDA out of memory. Tried to allocate 4.73 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.03 GiB is free. Including non-PyTorch memory, this process has 22.52 GiB memory in use. Of the allocated memory 18.71 GiB is allocated by PyTorch, and 3.50 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",70,70
musique,"CUDA out of memory. Tried to allocate 3.93 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.03 GiB is free. Including non-PyTorch memory, this process has 22.52 GiB memory in use. Of the allocated memory 17.47 GiB is allocated by PyTorch, and 4.74 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",71,71
musique,"CUDA out of memory. Tried to allocate 4.71 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.03 GiB is free. Including non-PyTorch memory, this process has 22.52 GiB memory in use. Of the allocated memory 18.68 GiB is allocated by PyTorch, and 3.53 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",72,72
musique,"CUDA out of memory. Tried to allocate 4.70 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.03 GiB is free. Including non-PyTorch memory, this process has 22.52 GiB memory in use. Of the allocated memory 18.67 GiB is allocated by PyTorch, and 3.54 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",73,73
musique,"CUDA out of memory. Tried to allocate 6.85 GiB. GPU 0 has a total capacity of 23.56 GiB of which 6.48 GiB is free. Including non-PyTorch memory, this process has 17.07 GiB memory in use. Of the allocated memory 15.12 GiB is allocated by PyTorch, and 1.64 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",74,74
musique,"CUDA out of memory. Tried to allocate 6.60 GiB. GPU 0 has a total capacity of 23.56 GiB of which 6.48 GiB is free. Including non-PyTorch memory, this process has 17.07 GiB memory in use. Of the allocated memory 14.99 GiB is allocated by PyTorch, and 1.77 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",75,75
musique,"CUDA out of memory. Tried to allocate 7.21 GiB. GPU 0 has a total capacity of 23.56 GiB of which 6.48 GiB is free. Including non-PyTorch memory, this process has 17.07 GiB memory in use. Of the allocated memory 15.32 GiB is allocated by PyTorch, and 1.44 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",76,76
musique,"CUDA out of memory. Tried to allocate 4.61 GiB. GPU 0 has a total capacity of 23.56 GiB of which 1.87 GiB is free. Including non-PyTorch memory, this process has 21.68 GiB memory in use. Of the allocated memory 18.52 GiB is allocated by PyTorch, and 2.85 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",77,77
musique,answer evidence not found in chunk tokens,78,78
